Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,color code (product.metafields.custom.color_code),make (product.metafields.custom.make),UPC (product.metafields.facts.upc),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Paint finish (product.metafields.shopify.paint-finish),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle paint type (product.metafields.shopify.vehicle-paint-type),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
for-toyota-040-white-gallon-paint,For Toyota 040 White Paint,<p>Requires Urethane 1:1 Reducer</p>,Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Factory Pack,TRUE,Title,Gallon,,,,,,,,SP-GAL-040,4535.9237,shopify,10,deny,manual,138.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/3gqp_Toyota_040_Super_White_1K_Basecoat_06b10644-fb60-4f4b-a2c0-603c0639afc3.jpg?v=1750269935,1,,FALSE,,,,,,,,,,,,,,40,Toyota,,,,,,,,,,,,,,lb,,62.03,active
for-toyota-040-white-gallon-paint,,,,,,,,,Quart,,,,,,,,SP-QT-040,4535.9237,shopify,4,deny,manual,52.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Toyota_040_Super_White_1K_Basecoat_bf505dd2-9800-429c-ae11-29de550ccac3.jpg?v=1752082252,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Toyota_040_Super_White_1K_Basecoat_3c6cc313-5093-4f83-a399-2538c1fb5cef.jpg?v=1750269935,lb,,11.76,
for-toyota-040-white-gallon-paint,,,,,,,,,Pint,,,,,,,,SP-PT-040,4535.9237,shopify,5,deny,manual,39.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Toyota_040_Super_White_1K_Basecoat.jpg?v=1750269935,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Toyota_040_Super_White_1K_Basecoat_b529c263-c3fb-4e71-b0a8-fd573a3da52c.jpg?v=1750269935,lb,,5.88,
for-toyota-040-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Toyota_040_Super_White_1K_Basecoat_3c6cc313-5093-4f83-a399-2538c1fb5cef.jpg?v=1750269935,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-toyota-040-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Toyota_040_Super_White_1K_Basecoat_b529c263-c3fb-4e71-b0a8-fd573a3da52c.jpg?v=1750269935,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-ford-yz-z1-white-gallon-paint,For Ford YZ / Z1  White Paint,<p>Requires 1:1 urethane reducer</p>,Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Factory Pack,TRUE,Title,Gallon,,,,,,,,SP-GAL-YZ,4535.9237,shopify,8,deny,manual,138.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/3gqp_Ford_YZ_Oxford_White_1K_Basecoat_18fd398f-cfb3-4860-b196-ddd9e174d8ec.jpg?v=1750269937,1,,FALSE,,,,,,,,,,,,,,YZ / Z1,Ford,,,,,,,,,,,,,,lb,,62.03,active
for-ford-yz-z1-white-gallon-paint,,,,,,,,,Quart,,,,,,,,SP-QT-YZ,4535.9237,shopify,4,deny,manual,52.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Ford_YZ_Oxford_White_1K_Basecoat_5ca88874-ebd0-4147-87cf-e0626125eecb.jpg?v=1752082237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Ford_YZ_Oxford_White_1K_Basecoat_584db309-321f-4021-b0bf-97f601b4c694.jpg?v=1750269937,lb,,11.76,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,Pint,,,,,,,,SP-PT-YZ,4535.9237,shopify,5,deny,manual,39.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1g_Ford_YZ_Oxford_White_1K_Basecoat.jpg?v=1750269937,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Ford_YZ_Oxford_White_1K_Basecoat_8579502a-e774-46ba-85eb-4bd5a8b4209d.jpg?v=1750269937,lb,,5.88,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1q_Ford_YZ_Oxford_White_1K_Basecoat_584db309-321f-4021-b0bf-97f601b4c694.jpg?v=1750269937,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for-ford-yz-z1-white-gallon-paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/1p_Ford_YZ_Oxford_White_1K_Basecoat_8579502a-e774-46ba-85eb-4bd5a8b4209d.jpg?v=1750269937,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
